10g: links: 371g; rechts: 127g, 127g, 127g
2780g: naechtes Ergebnis: 2784g: links: /; rechts: 2000g, 371g, 371g, 42g
2790g: naechtes Ergebnis: 2793g: links: 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g
2800g: naechtes Ergebnis: 2802g: links: 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 42g
2810g: naechtes Ergebnis: 2812g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 127g, 127g
2820g: naechtes Ergebnis: 2817g: links: 42g, 127g, 127g; rechts: 2000g, 371g, 371g, 371g
2830g: naechtes Ergebnis: 2827g: links: 42g; rechts: 2000g, 371g, 371g, 127g
2840g: naechtes Ergebnis: 2836g: links: /; rechts: 2000g, 371g, 42g, 42g, 127g, 127g, 127g
2850g: naechtes Ergebnis: 2854g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 42g, 127g, 127g
2860g: links: 42g, 42g, 42g, 127g; rechts: 2000g, 371g, 371g, 371g
2870g: links: 42g, 42g, 42g; rechts: 2000g, 371g, 371g, 127g, 127g
2880g: naechtes Ergebnis: 2878g: links: /; rechts: 2000g, 371g, 42g, 42g, 42g, 127g, 127g, 127g
2890g: naechtes Ergebnis: 2888g: links: 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 127g
2900g: naechtes Ergebnis: 2901g: links: 127g, 127g; rechts: 2000g, 371g, 371g, 371g, 42g
2910g: naechtes Ergebnis: 2911g: links: /; rechts: 2000g, 371g, 371g, 42g, 127g
2920g: links: 371g, 371g, 42g, 42g, 127g, 127g; rechts: 2000g, 2000g
2930g: links: 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 127g
2940g: naechtes Ergebnis: 2939g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 127g, 127g, 127g
2950g: naechtes Ergebnis: 2953g: links: /; rechts: 2000g, 371g, 371g, 42g, 42g, 127g
2960g: naechtes Ergebnis: 2961g: links: 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 42g, 42g
2970g: naechtes Ergebnis: 2971g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 42g
2980g: naechtes Ergebnis: 2981g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 42g, 127g, 127g, 127g
2990g: naechtes Ergebnis: 2987g: links: 42g, 42g, 42g; rechts: 2000g, 371g, 371g, 371g
3000g: naechtes Ergebnis: 2997g: links: 42g, 42g, 42g; rechts: 2000g, 371g, 371g, 127g, 127g, 127g
3010g: naechtes Ergebnis: 3013g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 42g, 42g
3020g: naechtes Ergebnis: 3019g: links: 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 371g, 371g, 371g, 371g
3030g: naechtes Ergebnis: 3029g: links: 42g, 42g; rechts: 2000g, 371g, 371g, 371g
3040g: naechtes Ergebnis: 3039g: links: 42g, 42g; rechts: 2000g, 371g, 371g, 127g, 127g, 127g
3050g: naechtes Ergebnis: 3047g: links: 371g, 371g, 42g, 42g, 127g; rechts: 2000g, 2000g
3060g: naechtes Ergebnis: 3061g: links: 42g, 127g, 127g, 127g; rechts: 2000g, 371g, 371g, 371g, 371g
3070g: links: 127g; rechts: 2000g, 371g, 371g, 371g, 42g, 42g
3080g: links: /; rechts: 2000g, 371g, 371g, 42g, 42g, 127g, 127g
3090g: naechtes Ergebnis: 3089g: links: 371g, 371g, 42g, 127g; rechts: 2000g, 2000g
3100g: naechtes Ergebnis: 3099g: links: 371g, 371g, 371g, 42g; rechts: 2000g, 2000g, 127g, 127g
3110g: naechtes Ergebnis: 3112g: links: 127g; rechts: 2000g, 371g, 371g, 371g, 42g, 42g, 42g
3120g: naechtes Ergebnis: 3122g: links: /; rechts: 2000g, 371g, 371g, 42g, 42g, 42g, 127g, 127g
3130g: links: 371g, 371g, 127g, 127g; rechts: 2000g, 2000g, 42g, 42g, 42g
3140g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 42g, 42g, 127g
3150g: naechtes Ergebnis: 3146g: links: 42g, 42g, 127g, 127g; rechts: 2000g, 371g, 371g, 371g, 371g
3160g: naechtes Ergebnis: 3156g: links: 42g, 42g; rechts: 2000g, 371g, 371g, 371g, 127g
3170g: naechtes Ergebnis: 3173g: links: 371g, 371g, 127g; rechts: 2000g, 2000g, 42g
3180g: naechtes Ergebnis: 3183g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 127g, 127g
3190g: naechtes Ergebnis: 3188g: links: 42g, 127g, 127g; rechts: 2000g, 371g, 371g, 371g, 371g
3200g: naechtes Ergebnis: 3198g: links: 42g; rechts: 2000g, 371g, 371g, 371g, 127g
3210g: naechtes Ergebnis: 3207g: links: /; rechts: 2000g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
3220g: naechtes Ergebnis: 3216g: links: 371g, 371g, 42g; rechts: 2000g, 2000g
3230g: links: 127g, 127g; rechts: 2000g, 371g, 371g, 371g, 371g
3240g: links: /; rechts: 2000g, 371g, 371g, 371g, 127g
3250g: naechtes Ergebnis: 3249g: links: /; rechts: 2000g, 371g, 371g, 42g, 42g, 42g, 127g, 127g, 127g
3260g: naechtes Ergebnis: 3259g: links: 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 127g
3270g: naechtes Ergebnis: 3268g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 127g, 127g, 127g
3280g: naechtes Ergebnis: 3282g: links: /; rechts: 2000g, 371g, 371g, 371g, 42g, 127g
3290g: links: 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 42g
3300g: links: 371g, 371g; rechts: 2000g, 2000g, 42g
3310g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 42g, 127g, 127g, 127g
3320g: naechtes Ergebnis: 3324g: links: /; rechts: 2000g, 371g, 371g, 371g, 42g, 42g, 127g
3330g: naechtes Ergebnis: 3332g: links: 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 42g, 42g
3340g: naechtes Ergebnis: 3342g: links: 371g, 371g; rechts: 2000g, 2000g, 42g, 42g
3350g: naechtes Ergebnis: 3351g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g
3360g: naechtes Ergebnis: 3358g: links: 42g, 42g, 42g; rechts: 2000g, 371g, 371g, 371g, 371g
3370g: naechtes Ergebnis: 3368g: links: 42g, 42g, 42g; rechts: 2000g, 371g, 371g, 371g, 127g, 127g, 127g
3380g: naechtes Ergebnis: 3376g: links: 371g, 42g, 42g, 42g, 127g; rechts: 2000g, 2000g
3390g: links: 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 371g, 371g, 371g, 371g, 371g
3400g: links: 42g, 42g; rechts: 2000g, 371g, 371g, 371g, 371g
3410g: links: 42g, 42g; rechts: 2000g, 371g, 371g, 371g, 127g, 127g, 127g
3420g: naechtes Ergebnis: 3418g: links: 371g, 42g, 42g, 127g; rechts: 2000g, 2000g
3430g: naechtes Ergebnis: 3428g: links: 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 127g, 127g
3440g: naechtes Ergebnis: 3441g: links: 127g; rechts: 2000g, 371g, 371g, 371g, 371g, 42g, 42g
3450g: naechtes Ergebnis: 3451g: links: /; rechts: 2000g, 371g, 371g, 371g, 42g, 42g, 127g, 127g
3460g: links: 371g, 42g, 127g; rechts: 2000g, 2000g
3470g: links: 371g, 371g, 42g; rechts: 2000g, 2000g, 127g, 127g
3480g: naechtes Ergebnis: 3478g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g
3490g: naechtes Ergebnis: 3493g: links: /; rechts: 2000g, 371g, 371g, 371g, 42g, 42g, 42g, 127g, 127g
3500g: naechtes Ergebnis: 3501g: links: 371g, 127g, 127g; rechts: 2000g, 2000g, 42g, 42g, 42g
3510g: naechtes Ergebnis: 3511g: links: 371g, 371g; rechts: 2000g, 2000g, 42g, 42g, 42g, 127g
3520g: links: 371g, 371g, 371g, 371g, 371g, 371g, 127g, 127g; rechts: 2000g, 2000g, 2000g
3530g: naechtes Ergebnis: 3527g: links: 42g, 42g; rechts: 2000g, 371g, 371g, 371g, 371g, 127g
3540g: naechtes Ergebnis: 3536g: links: /; rechts: 2000g, 371g, 371g, 371g, 42g, 127g, 127g, 127g
3550g: naechtes Ergebnis: 3554g: links: 371g, 371g; rechts: 2000g, 2000g, 42g, 127g, 127g
3560g: naechtes Ergebnis: 3559g: links: 42g, 127g, 127g; rechts: 2000g, 371g, 371g, 371g, 371g, 371g
3570g: naechtes Ergebnis: 3569g: links: 42g; rechts: 2000g, 371g, 371g, 371g, 371g, 127g
3580g: naechtes Ergebnis: 3578g: links: /; rechts: 2000g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
3590g: naechtes Ergebnis: 3587g: links: 371g, 42g; rechts: 2000g, 2000g
3600g: links: 127g, 127g, 127g; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
3610g: links: /; rechts: 2000g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
3620g: links: /; rechts: 2000g, 371g, 371g, 371g, 42g, 42g, 42g, 127g, 127g, 127g
3630g: links: 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 127g
3640g: naechtes Ergebnis: 3639g: links: 371g, 371g; rechts: 2000g, 2000g, 127g, 127g, 127g
3650g: naechtes Ergebnis: 3648g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g
3660g: naechtes Ergebnis: 3661g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 42g
3670g: naechtes Ergebnis: 3671g: links: 371g; rechts: 2000g, 2000g, 42g
3680g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g
3690g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g
3700g: naechtes Ergebnis: 3703g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 42g, 42g
3710g: naechtes Ergebnis: 3713g: links: 371g; rechts: 2000g, 2000g, 42g, 42g
3720g: naechtes Ergebnis: 3719g: links: 42g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 371g
3730g: naechtes Ergebnis: 3729g: links: 42g, 42g, 42g; rechts: 2000g, 371g, 371g, 371g, 371g, 371g
3740g: naechtes Ergebnis: 3739g: links: 42g, 42g, 42g; rechts: 2000g, 371g, 371g, 371g, 371g, 127g, 127g, 127g
3750g: naechtes Ergebnis: 3747g: links: 42g, 42g, 42g, 127g; rechts: 2000g, 2000g
3760g: naechtes Ergebnis: 3761g: links: 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 371g
3770g: links: 127g; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 42g
3780g: links: /; rechts: 2000g, 371g, 371g, 371g, 371g, 42g, 127g, 127g
3790g: naechtes Ergebnis: 3789g: links: 42g, 42g, 127g; rechts: 2000g, 2000g
3800g: naechtes Ergebnis: 3799g: links: 371g, 42g, 42g; rechts: 2000g, 2000g, 127g, 127g
3810g: naechtes Ergebnis: 3812g: links: 127g; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 42g
3820g: naechtes Ergebnis: 3822g: links: /; rechts: 2000g, 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g
3830g: links: 127g, 127g; rechts: 2000g, 2000g, 42g, 42g
3840g: links: 371g; rechts: 2000g, 2000g, 42g, 42g, 127g
3850g: naechtes Ergebnis: 3849g: links: 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g
3860g: naechtes Ergebnis: 3859g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g, 127g
3870g: naechtes Ergebnis: 3872g: links: 127g, 127g; rechts: 2000g, 2000g, 42g, 42g, 42g
3880g: naechtes Ergebnis: 3882g: links: 371g; rechts: 2000g, 2000g, 42g, 42g, 42g, 127g
3890g: links: 371g, 371g, 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 42g
3900g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 42g
3910g: naechtes Ergebnis: 3907g: links: /; rechts: 2000g, 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g
3920g: naechtes Ergebnis: 3916g: links: 42g, 42g; rechts: 2000g, 2000g
3930g: links: 42g, 127g, 127g; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 371g
3940g: links: 42g; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 127g
3950g: naechtes Ergebnis: 3949g: links: /; rechts: 2000g, 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
3960g: naechtes Ergebnis: 3958g: links: 42g; rechts: 2000g, 2000g
3970g: naechtes Ergebnis: 3971g: links: 127g, 127g, 127g; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
3980g: naechtes Ergebnis: 3981g: links: /; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
3990g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 371g
4000g: links: /; rechts: 2000g, 2000g
4010g: links: 371g; rechts: 2000g, 2000g, 127g, 127g, 127g
4020g: naechtes Ergebnis: 4019g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g
4030g: naechtes Ergebnis: 4029g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 127g, 127g, 127g
4040g: naechtes Ergebnis: 4042g: links: /; rechts: 2000g, 2000g, 42g
4050g: naechtes Ergebnis: 4051g: links: 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g
4060g: links: 371g, 371g, 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g, 42g
4070g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 127g, 127g
4080g: naechtes Ergebnis: 4084g: links: /; rechts: 2000g, 2000g, 42g, 42g
4090g: naechtes Ergebnis: 4093g: links: 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g
4100g: links: 42g, 42g, 42g; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 371g
4110g: links: 42g, 42g, 42g; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 127g, 127g, 127g
4120g: naechtes Ergebnis: 4118g: links: 42g, 42g, 42g, 127g; rechts: 2000g, 2000g, 371g
4130g: naechtes Ergebnis: 4128g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 127g, 127g
4140g: naechtes Ergebnis: 4141g: links: 127g; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g
4150g: naechtes Ergebnis: 4151g: links: /; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g
4160g: links: 42g, 42g, 127g; rechts: 2000g, 2000g, 371g
4170g: links: 42g, 42g; rechts: 2000g, 2000g, 127g, 127g
4180g: naechtes Ergebnis: 4178g: links: 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g
4190g: naechtes Ergebnis: 4188g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 127g
4200g: naechtes Ergebnis: 4201g: links: 127g, 127g; rechts: 2000g, 2000g, 371g, 42g, 42g
4210g: naechtes Ergebnis: 4211g: links: /; rechts: 2000g, 2000g, 42g, 42g, 127g
4220g: links: 371g, 371g, 371g, 371g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g
4230g: links: 371g, 371g, 371g, 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g, 127g
4240g: naechtes Ergebnis: 4239g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 127g, 127g, 127g
4250g: naechtes Ergebnis: 4253g: links: /; rechts: 2000g, 2000g, 42g, 42g, 42g, 127g
4260g: naechtes Ergebnis: 4261g: links: 371g, 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 42g
4270g: naechtes Ergebnis: 4269g: links: 42g, 42g; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 127g
4280g: naechtes Ergebnis: 4281g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g, 127g, 127g
4290g: naechtes Ergebnis: 4287g: links: 42g, 42g; rechts: 2000g, 2000g, 371g
4300g: naechtes Ergebnis: 4297g: links: 42g, 42g; rechts: 2000g, 2000g, 127g, 127g, 127g
4310g: links: /; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g
4320g: links: /; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
4330g: naechtes Ergebnis: 4329g: links: 42g; rechts: 2000g, 2000g, 371g
4340g: naechtes Ergebnis: 4339g: links: 42g; rechts: 2000g, 2000g, 127g, 127g, 127g
4350g: naechtes Ergebnis: 4352g: links: /; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
4360g: naechtes Ergebnis: 4361g: links: 127g, 127g, 127g; rechts: 2000g, 2000g, 371g, 371g
4370g: links: 127g; rechts: 2000g, 2000g, 371g, 42g, 42g, 42g
4380g: links: /; rechts: 2000g, 2000g, 42g, 42g, 42g, 127g, 127g
4390g: links: 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g
4400g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 127g, 127g, 127g
4410g: naechtes Ergebnis: 4413g: links: /; rechts: 2000g, 2000g, 371g, 42g
4420g: naechtes Ergebnis: 4422g: links: 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g
4430g: naechtes Ergebnis: 4431g: links: 371g, 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g, 42g
4440g: naechtes Ergebnis: 4441g: links: 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 127g, 127g
4450g: naechtes Ergebnis: 4446g: links: 42g, 127g, 127g; rechts: 2000g, 2000g, 371g, 371g
4460g: naechtes Ergebnis: 4456g: links: 42g; rechts: 2000g, 2000g, 371g, 127g
4470g: naechtes Ergebnis: 4473g: links: 371g, 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g, 42g, 42g
4480g: links: /; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 127g, 127g
4490g: naechtes Ergebnis: 4489g: links: 42g, 42g, 42g, 127g; rechts: 2000g, 2000g, 371g, 371g
4500g: naechtes Ergebnis: 4499g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 371g, 127g, 127g
4510g: naechtes Ergebnis: 4507g: links: /; rechts: 2000g, 2000g, 42g, 42g, 42g, 127g, 127g, 127g
4520g: naechtes Ergebnis: 4522g: links: /; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g
4530g: links: 127g, 127g; rechts: 2000g, 2000g, 371g, 371g, 42g
4540g: links: /; rechts: 2000g, 2000g, 371g, 42g, 127g
4550g: naechtes Ergebnis: 4549g: links: 371g, 371g, 371g, 42g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g
4560g: naechtes Ergebnis: 4559g: links: 371g, 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 127g
4570g: naechtes Ergebnis: 4568g: links: 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 127g, 127g, 127g
4580g: naechtes Ergebnis: 4582g: links: /; rechts: 2000g, 2000g, 371g, 42g, 42g, 127g
4590g: links: 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 42g, 42g
4600g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 42g
4610g: links: 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 127g, 127g, 127g
4620g: naechtes Ergebnis: 4616g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 371g, 371g
4630g: naechtes Ergebnis: 4632g: links: 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 42g
4640g: naechtes Ergebnis: 4642g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 42g
4650g: naechtes Ergebnis: 4649g: links: /; rechts: 2000g, 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g
4660g: naechtes Ergebnis: 4658g: links: 42g, 42g; rechts: 2000g, 2000g, 371g, 371g
4670g: naechtes Ergebnis: 4668g: links: 42g, 42g; rechts: 2000g, 2000g, 371g, 127g, 127g, 127g
4680g: naechtes Ergebnis: 4676g: links: 371g, 371g, 371g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g
4690g: links: 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 371g, 371g, 371g
4700g: links: 42g; rechts: 2000g, 2000g, 371g, 371g
4710g: links: 42g; rechts: 2000g, 2000g, 371g, 127g, 127g, 127g
4720g: naechtes Ergebnis: 4718g: links: 371g, 371g, 371g, 42g, 127g; rechts: 2000g, 2000g, 2000g
4730g: naechtes Ergebnis: 4728g: links: 371g, 371g, 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g, 127g, 127g
4740g: naechtes Ergebnis: 4741g: links: 127g; rechts: 2000g, 2000g, 371g, 371g, 42g, 42g, 42g
4750g: naechtes Ergebnis: 4751g: links: /; rechts: 2000g, 2000g, 371g, 42g, 42g, 42g, 127g, 127g
4760g: links: 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g
4770g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 127g, 127g
4780g: naechtes Ergebnis: 4784g: links: /; rechts: 2000g, 2000g, 371g, 371g, 42g
4790g: naechtes Ergebnis: 4793g: links: 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g
4800g: naechtes Ergebnis: 4802g: links: 371g, 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g, 42g
4810g: naechtes Ergebnis: 4812g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 127g, 127g
4820g: naechtes Ergebnis: 4817g: links: 42g, 127g, 127g; rechts: 2000g, 2000g, 371g, 371g, 371g
4830g: naechtes Ergebnis: 4827g: links: 42g; rechts: 2000g, 2000g, 371g, 371g, 127g
4840g: naechtes Ergebnis: 4836g: links: /; rechts: 2000g, 2000g, 371g, 42g, 42g, 127g, 127g, 127g
4850g: naechtes Ergebnis: 4854g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 127g, 127g
4860g: links: 42g, 42g, 42g, 127g; rechts: 2000g, 2000g, 371g, 371g, 371g
4870g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 371g, 371g, 127g, 127g
4880g: naechtes Ergebnis: 4878g: links: /; rechts: 2000g, 2000g, 371g, 42g, 42g, 42g, 127g, 127g, 127g
4890g: naechtes Ergebnis: 4888g: links: 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 127g
4900g: naechtes Ergebnis: 4901g: links: 127g, 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 42g
4910g: naechtes Ergebnis: 4911g: links: /; rechts: 2000g, 2000g, 371g, 371g, 42g, 127g
4920g: links: 371g, 371g, 42g, 42g, 127g, 127g; rechts: 2000g, 2000g, 2000g
4930g: links: 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 2000g, 2000g, 127g
4940g: naechtes Ergebnis: 4939g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 127g, 127g, 127g
4950g: naechtes Ergebnis: 4953g: links: /; rechts: 2000g, 2000g, 371g, 371g, 42g, 42g, 127g
4960g: naechtes Ergebnis: 4961g: links: 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 42g, 42g
4970g: naechtes Ergebnis: 4971g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 42g
4980g: naechtes Ergebnis: 4981g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 127g, 127g, 127g
4990g: naechtes Ergebnis: 4987g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 371g, 371g, 371g
5000g: naechtes Ergebnis: 4997g: links: 42g, 42g, 42g; rechts: 2000g, 2000g, 371g, 371g, 127g, 127g, 127g
5010g: naechtes Ergebnis: 5013g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 42g
5020g: naechtes Ergebnis: 5019g: links: 42g, 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g
5030g: naechtes Ergebnis: 5029g: links: 42g, 42g; rechts: 2000g, 2000g, 371g, 371g, 371g
5040g: naechtes Ergebnis: 5039g: links: 42g, 42g; rechts: 2000g, 2000g, 371g, 371g, 127g, 127g, 127g
5050g: naechtes Ergebnis: 5047g: links: 371g, 371g, 42g, 42g, 127g; rechts: 2000g, 2000g, 2000g
5060g: naechtes Ergebnis: 5061g: links: 42g, 127g, 127g, 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g
5070g: links: 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 42g, 42g
5080g: links: /; rechts: 2000g, 2000g, 371g, 371g, 42g, 42g, 127g, 127g
5090g: naechtes Ergebnis: 5089g: links: 371g, 371g, 42g, 127g; rechts: 2000g, 2000g, 2000g
5100g: naechtes Ergebnis: 5099g: links: 371g, 371g, 371g, 42g; rechts: 2000g, 2000g, 2000g, 127g, 127g
5110g: naechtes Ergebnis: 5112g: links: 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 42g, 42g, 42g
5120g: naechtes Ergebnis: 5122g: links: /; rechts: 2000g, 2000g, 371g, 371g, 42g, 42g, 42g, 127g, 127g
5130g: links: 371g, 371g, 127g, 127g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 42g
5140g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 42g, 42g, 127g
5150g: naechtes Ergebnis: 5146g: links: 42g, 42g, 127g, 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g
5160g: naechtes Ergebnis: 5156g: links: 42g, 42g; rechts: 2000g, 2000g, 371g, 371g, 371g, 127g
5170g: naechtes Ergebnis: 5173g: links: 371g, 371g, 127g; rechts: 2000g, 2000g, 2000g, 42g
5180g: naechtes Ergebnis: 5183g: links: 371g, 371g, 371g; rechts: 2000g, 2000g, 2000g, 42g, 127g, 127g
5190g: naechtes Ergebnis: 5188g: links: 42g, 127g, 127g; rechts: 2000g, 2000g, 371g, 371g, 371g, 371g
5200g: naechtes Ergebnis: 5198g: links: 42g; rechts: 2000g, 2000g, 371g, 371g, 371g, 127g
