10g: links: /; rechts: 10g
3710g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g
3720g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g, 10g
3730g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3740g: links: 10g; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g
3750g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g
3760g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g
3770g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g, 10g
3780g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3790g: links: 10g; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g
3800g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g
3810g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g
3820g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g, 10g
3830g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3840g: links: 10g; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g
3850g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g
3860g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g
3870g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g, 10g
3880g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3890g: links: 10g; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g
3900g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g
3910g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g
3920g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g, 10g
3930g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 10g, 10g, 10g
3940g: links: 50g, 10g; rechts: 500g, 500g, 1000g, 1000g, 1000g
3950g: links: 50g; rechts: 500g, 500g, 1000g, 1000g, 1000g
3960g: links: 50g; rechts: 500g, 500g, 1000g, 1000g, 1000g, 10g
3970g: links: 10g, 10g, 10g; rechts: 500g, 500g, 1000g, 1000g, 1000g
3980g: links: 10g, 10g; rechts: 500g, 500g, 1000g, 1000g, 1000g
3990g: links: 10g; rechts: 500g, 500g, 1000g, 1000g, 1000g
4000g: links: /; rechts: 500g, 500g, 1000g, 1000g, 1000g
4010g: links: /; rechts: 500g, 500g, 1000g, 1000g, 1000g, 10g
4020g: links: /; rechts: 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4030g: links: /; rechts: 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4040g: links: 10g; rechts: 50g, 500g, 500g, 1000g, 1000g, 1000g
4050g: links: /; rechts: 50g, 500g, 500g, 1000g, 1000g, 1000g
4060g: links: /; rechts: 50g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4070g: links: /; rechts: 50g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4080g: links: /; rechts: 50g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4090g: links: 10g; rechts: 50g, 50g, 500g, 500g, 1000g, 1000g, 1000g
4100g: links: /; rechts: 50g, 50g, 500g, 500g, 1000g, 1000g, 1000g
4110g: links: /; rechts: 50g, 50g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4120g: links: /; rechts: 50g, 50g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4130g: links: /; rechts: 50g, 50g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4140g: links: 10g; rechts: 50g, 100g, 500g, 500g, 1000g, 1000g, 1000g
4150g: links: /; rechts: 50g, 100g, 500g, 500g, 1000g, 1000g, 1000g
4160g: links: /; rechts: 50g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4170g: links: /; rechts: 50g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4180g: links: /; rechts: 50g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4190g: links: 10g; rechts: 50g, 50g, 100g, 500g, 500g, 1000g, 1000g, 1000g
4200g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 1000g, 1000g, 1000g
4210g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4220g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4230g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4240g: links: 10g; rechts: 50g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g
4250g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g
4260g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4270g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4280g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4290g: links: 10g; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g
4300g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g
4310g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4320g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4330g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4340g: links: 10g; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g
4350g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g
4360g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4370g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4380g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4390g: links: 10g; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g
4400g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g
4410g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4420g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4430g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4440g: links: 50g, 10g; rechts: 500g, 500g, 500g, 1000g, 1000g, 1000g
4450g: links: 50g; rechts: 500g, 500g, 500g, 1000g, 1000g, 1000g
4460g: links: 50g; rechts: 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4470g: links: 10g, 10g, 10g; rechts: 500g, 500g, 500g, 1000g, 1000g, 1000g
4480g: links: 10g, 10g; rechts: 500g, 500g, 500g, 1000g, 1000g, 1000g
4490g: links: 10g; rechts: 500g, 500g, 500g, 1000g, 1000g, 1000g
4500g: links: /; rechts: 500g, 500g, 500g, 1000g, 1000g, 1000g
4510g: links: /; rechts: 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4520g: links: /; rechts: 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4530g: links: /; rechts: 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4540g: links: 10g; rechts: 50g, 500g, 500g, 500g, 1000g, 1000g, 1000g
4550g: links: /; rechts: 50g, 500g, 500g, 500g, 1000g, 1000g, 1000g
4560g: links: /; rechts: 50g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4570g: links: /; rechts: 50g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4580g: links: /; rechts: 50g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4590g: links: 10g; rechts: 50g, 50g, 500g, 500g, 500g, 1000g, 1000g, 1000g
4600g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 1000g, 1000g, 1000g
4610g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4620g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4630g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4640g: links: 10g; rechts: 50g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g
4650g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g
4660g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4670g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4680g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4690g: links: 10g; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g
4700g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g
4710g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4720g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4730g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4740g: links: 10g; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g
4750g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g
4760g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4770g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4780g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4790g: links: 10g; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g
4800g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g
4810g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4820g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4830g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4840g: links: 10g; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g
4850g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g
4860g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4870g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4880g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4890g: links: 10g; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g
4900g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g
4910g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g
4920g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g
4930g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 1000g, 1000g, 1000g, 10g, 10g, 10g
4940g: links: 50g, 10g; rechts: 5000g
4950g: links: 50g; rechts: 5000g
4960g: links: 50g; rechts: 5000g, 10g
4970g: links: 10g, 10g, 10g; rechts: 5000g
4980g: links: 10g, 10g; rechts: 5000g
4990g: links: 10g; rechts: 5000g
5000g: links: /; rechts: 5000g
5010g: links: /; rechts: 5000g, 10g
5020g: links: /; rechts: 5000g, 10g, 10g
5030g: links: /; rechts: 5000g, 10g, 10g, 10g
5040g: links: 10g; rechts: 50g, 5000g
5050g: links: /; rechts: 50g, 5000g
5060g: links: /; rechts: 50g, 5000g, 10g
5070g: links: /; rechts: 50g, 5000g, 10g, 10g
5080g: links: /; rechts: 50g, 5000g, 10g, 10g, 10g
5090g: links: 10g; rechts: 50g, 50g, 5000g
5100g: links: /; rechts: 50g, 50g, 5000g
5110g: links: /; rechts: 50g, 50g, 5000g, 10g
5120g: links: /; rechts: 50g, 50g, 5000g, 10g, 10g
5130g: links: /; rechts: 50g, 50g, 5000g, 10g, 10g, 10g
5140g: links: 10g; rechts: 50g, 100g, 5000g
5150g: links: /; rechts: 50g, 100g, 5000g
5160g: links: /; rechts: 50g, 100g, 5000g, 10g
5170g: links: /; rechts: 50g, 100g, 5000g, 10g, 10g
5180g: links: /; rechts: 50g, 100g, 5000g, 10g, 10g, 10g
5190g: links: 10g; rechts: 50g, 50g, 100g, 5000g
5200g: links: /; rechts: 50g, 50g, 100g, 5000g
5210g: links: /; rechts: 50g, 50g, 100g, 5000g, 10g
5220g: links: /; rechts: 50g, 50g, 100g, 5000g, 10g, 10g
5230g: links: /; rechts: 50g, 50g, 100g, 5000g, 10g, 10g, 10g
5240g: links: 10g; rechts: 50g, 100g, 100g, 5000g
5250g: links: /; rechts: 50g, 100g, 100g, 5000g
5260g: links: /; rechts: 50g, 100g, 100g, 5000g, 10g
5270g: links: /; rechts: 50g, 100g, 100g, 5000g, 10g, 10g
5280g: links: /; rechts: 50g, 100g, 100g, 5000g, 10g, 10g, 10g
5290g: links: 10g; rechts: 50g, 50g, 100g, 100g, 5000g
5300g: links: /; rechts: 50g, 50g, 100g, 100g, 5000g
5310g: links: /; rechts: 50g, 50g, 100g, 100g, 5000g, 10g
5320g: links: /; rechts: 50g, 50g, 100g, 100g, 5000g, 10g, 10g
5330g: links: /; rechts: 50g, 50g, 100g, 100g, 5000g, 10g, 10g, 10g
5340g: links: 10g; rechts: 50g, 100g, 100g, 100g, 5000g
5350g: links: /; rechts: 50g, 100g, 100g, 100g, 5000g
5360g: links: /; rechts: 50g, 100g, 100g, 100g, 5000g, 10g
5370g: links: /; rechts: 50g, 100g, 100g, 100g, 5000g, 10g, 10g
5380g: links: /; rechts: 50g, 100g, 100g, 100g, 5000g, 10g, 10g, 10g
5390g: links: 10g; rechts: 50g, 50g, 100g, 100g, 100g, 5000g
5400g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 5000g
5410g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 5000g, 10g
5420g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 5000g, 10g, 10g
5430g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 5000g, 10g, 10g, 10g
5440g: links: 50g, 10g; rechts: 500g, 5000g
5450g: links: 50g; rechts: 500g, 5000g
5460g: links: 50g; rechts: 500g, 5000g, 10g
5470g: links: 10g, 10g, 10g; rechts: 500g, 5000g
5480g: links: 10g, 10g; rechts: 500g, 5000g
5490g: links: 10g; rechts: 500g, 5000g
5500g: links: /; rechts: 500g, 5000g
5510g: links: /; rechts: 500g, 5000g, 10g
5520g: links: /; rechts: 500g, 5000g, 10g, 10g
5530g: links: /; rechts: 500g, 5000g, 10g, 10g, 10g
5540g: links: 10g; rechts: 50g, 500g, 5000g
5550g: links: /; rechts: 50g, 500g, 5000g
5560g: links: /; rechts: 50g, 500g, 5000g, 10g
5570g: links: /; rechts: 50g, 500g, 5000g, 10g, 10g
5580g: links: /; rechts: 50g, 500g, 5000g, 10g, 10g, 10g
5590g: links: 10g; rechts: 50g, 50g, 500g, 5000g
5600g: links: /; rechts: 50g, 50g, 500g, 5000g
5610g: links: /; rechts: 50g, 50g, 500g, 5000g, 10g
5620g: links: /; rechts: 50g, 50g, 500g, 5000g, 10g, 10g
5630g: links: /; rechts: 50g, 50g, 500g, 5000g, 10g, 10g, 10g
5640g: links: 10g; rechts: 50g, 100g, 500g, 5000g
5650g: links: /; rechts: 50g, 100g, 500g, 5000g
5660g: links: /; rechts: 50g, 100g, 500g, 5000g, 10g
5670g: links: /; rechts: 50g, 100g, 500g, 5000g, 10g, 10g
5680g: links: /; rechts: 50g, 100g, 500g, 5000g, 10g, 10g, 10g
5690g: links: 10g; rechts: 50g, 50g, 100g, 500g, 5000g
5700g: links: /; rechts: 50g, 50g, 100g, 500g, 5000g
5710g: links: /; rechts: 50g, 50g, 100g, 500g, 5000g, 10g
5720g: links: /; rechts: 50g, 50g, 100g, 500g, 5000g, 10g, 10g
5730g: links: /; rechts: 50g, 50g, 100g, 500g, 5000g, 10g, 10g, 10g
5740g: links: 10g; rechts: 50g, 100g, 100g, 500g, 5000g
5750g: links: /; rechts: 50g, 100g, 100g, 500g, 5000g
5760g: links: /; rechts: 50g, 100g, 100g, 500g, 5000g, 10g
5770g: links: /; rechts: 50g, 100g, 100g, 500g, 5000g, 10g, 10g
5780g: links: /; rechts: 50g, 100g, 100g, 500g, 5000g, 10g, 10g, 10g
5790g: links: 10g; rechts: 50g, 50g, 100g, 100g, 500g, 5000g
5800g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 5000g
5810g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 5000g, 10g
5820g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 5000g, 10g, 10g
5830g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 5000g, 10g, 10g, 10g
5840g: links: 10g; rechts: 50g, 100g, 100g, 100g, 500g, 5000g
5850g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 5000g
5860g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 5000g, 10g
5870g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 5000g, 10g, 10g
5880g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 5000g, 10g, 10g, 10g
5890g: links: 10g; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 5000g
5900g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 5000g
5910g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 5000g, 10g
5920g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 5000g, 10g, 10g
5930g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 5000g, 10g, 10g, 10g
5940g: links: 50g, 10g; rechts: 500g, 500g, 5000g
5950g: links: 50g; rechts: 500g, 500g, 5000g
5960g: links: 50g; rechts: 500g, 500g, 5000g, 10g
5970g: links: 10g, 10g, 10g; rechts: 500g, 500g, 5000g
5980g: links: 10g, 10g; rechts: 500g, 500g, 5000g
5990g: links: 10g; rechts: 500g, 500g, 5000g
6000g: links: /; rechts: 500g, 500g, 5000g
6010g: links: /; rechts: 500g, 500g, 5000g, 10g
6020g: links: /; rechts: 500g, 500g, 5000g, 10g, 10g
6030g: links: /; rechts: 500g, 500g, 5000g, 10g, 10g, 10g
6040g: links: 10g; rechts: 50g, 500g, 500g, 5000g
6050g: links: /; rechts: 50g, 500g, 500g, 5000g
6060g: links: /; rechts: 50g, 500g, 500g, 5000g, 10g
6070g: links: /; rechts: 50g, 500g, 500g, 5000g, 10g, 10g
6080g: links: /; rechts: 50g, 500g, 500g, 5000g, 10g, 10g, 10g
6090g: links: 10g; rechts: 50g, 50g, 500g, 500g, 5000g
6100g: links: /; rechts: 50g, 50g, 500g, 500g, 5000g
6110g: links: /; rechts: 50g, 50g, 500g, 500g, 5000g, 10g
6120g: links: /; rechts: 50g, 50g, 500g, 500g, 5000g, 10g, 10g
6130g: links: /; rechts: 50g, 50g, 500g, 500g, 5000g, 10g, 10g, 10g
6140g: links: 10g; rechts: 50g, 100g, 500g, 500g, 5000g
6150g: links: /; rechts: 50g, 100g, 500g, 500g, 5000g
6160g: links: /; rechts: 50g, 100g, 500g, 500g, 5000g, 10g
6170g: links: /; rechts: 50g, 100g, 500g, 500g, 5000g, 10g, 10g
6180g: links: /; rechts: 50g, 100g, 500g, 500g, 5000g, 10g, 10g, 10g
6190g: links: 10g; rechts: 50g, 50g, 100g, 500g, 500g, 5000g
6200g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 5000g
6210g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 5000g, 10g
6220g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 5000g, 10g, 10g
6230g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 5000g, 10g, 10g, 10g
6240g: links: 10g; rechts: 50g, 100g, 100g, 500g, 500g, 5000g
6250g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 5000g
6260g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 5000g, 10g
6270g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 5000g, 10g, 10g
6280g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 5000g, 10g, 10g, 10g
6290g: links: 10g; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 5000g
6300g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 5000g
6310g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 5000g, 10g
6320g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 5000g, 10g, 10g
6330g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 5000g, 10g, 10g, 10g
6340g: links: 10g; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 5000g
6350g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 5000g
6360g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 5000g, 10g
6370g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 5000g, 10g, 10g
6380g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 5000g, 10g, 10g, 10g
6390g: links: 10g; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 5000g
6400g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 5000g
6410g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 5000g, 10g
6420g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 5000g, 10g, 10g
6430g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 5000g, 10g, 10g, 10g
6440g: links: 50g, 10g; rechts: 500g, 500g, 500g, 5000g
6450g: links: 50g; rechts: 500g, 500g, 500g, 5000g
6460g: links: 50g; rechts: 500g, 500g, 500g, 5000g, 10g
6470g: links: 10g, 10g, 10g; rechts: 500g, 500g, 500g, 5000g
6480g: links: 10g, 10g; rechts: 500g, 500g, 500g, 5000g
6490g: links: 10g; rechts: 500g, 500g, 500g, 5000g
6500g: links: /; rechts: 500g, 500g, 500g, 5000g
6510g: links: /; rechts: 500g, 500g, 500g, 5000g, 10g
6520g: links: /; rechts: 500g, 500g, 500g, 5000g, 10g, 10g
6530g: links: /; rechts: 500g, 500g, 500g, 5000g, 10g, 10g, 10g
6540g: links: 10g; rechts: 50g, 500g, 500g, 500g, 5000g
6550g: links: /; rechts: 50g, 500g, 500g, 500g, 5000g
6560g: links: /; rechts: 50g, 500g, 500g, 500g, 5000g, 10g
6570g: links: /; rechts: 50g, 500g, 500g, 500g, 5000g, 10g, 10g
6580g: links: /; rechts: 50g, 500g, 500g, 500g, 5000g, 10g, 10g, 10g
6590g: links: 10g; rechts: 50g, 50g, 500g, 500g, 500g, 5000g
6600g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 5000g
6610g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 5000g, 10g
6620g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 5000g, 10g, 10g
6630g: links: /; rechts: 50g, 50g, 500g, 500g, 500g, 5000g, 10g, 10g, 10g
6640g: links: 10g; rechts: 50g, 100g, 500g, 500g, 500g, 5000g
6650g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 5000g
6660g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 5000g, 10g
6670g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 5000g, 10g, 10g
6680g: links: /; rechts: 50g, 100g, 500g, 500g, 500g, 5000g, 10g, 10g, 10g
6690g: links: 10g; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 5000g
6700g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 5000g
6710g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 5000g, 10g
6720g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 5000g, 10g, 10g
6730g: links: /; rechts: 50g, 50g, 100g, 500g, 500g, 500g, 5000g, 10g, 10g, 10g
6740g: links: 10g; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 5000g
6750g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 5000g
6760g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 5000g, 10g
6770g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 5000g, 10g, 10g
6780g: links: /; rechts: 50g, 100g, 100g, 500g, 500g, 500g, 5000g, 10g, 10g, 10g
6790g: links: 10g; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 5000g
6800g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 5000g
6810g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 5000g, 10g
6820g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 5000g, 10g, 10g
6830g: links: /; rechts: 50g, 50g, 100g, 100g, 500g, 500g, 500g, 5000g, 10g, 10g, 10g
6840g: links: 10g; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 5000g
6850g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 5000g
6860g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 5000g, 10g
6870g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 5000g, 10g, 10g
6880g: links: /; rechts: 50g, 100g, 100g, 100g, 500g, 500g, 500g, 5000g, 10g, 10g, 10g
6890g: links: 10g; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 5000g
6900g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 5000g
6910g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 5000g, 10g
6920g: links: /; rechts: 50g, 50g, 100g, 100g, 100g, 500g, 500g, 500g, 5000g, 10g, 10g
